station,timestamp,n_samples,dt,PGA_E,PGA_N,PGA_U,PGA_VEC,PGV_E,PGV_N,PGV_U,PGV_VEC,Arias,CAV,RMS_A,PSA_0.20s,PSA_1.00s
FKO005,202508070847,6009,0.01,7480.704200573208,3044.1135209020476,2775.376326762482,8003.903947954531,9114.291791469435,734.4141376938209,3386.8203319706663,9750.815342135838,9395910.340654304,38329.82435984956,988.1955528853292,,
FKO010,202508070847,6009,0.01,8844.819200022905,4364.423357217995,8295.678012521426,12887.873820361341,10768.34696283615,5315.079754460713,10091.675564640344,15685.958205039937,20525738.87058254,45889.172586611414,1460.5716374620463,,
FKO011,202508070847,6009,0.01,8040.4551895400255,10735.224919934277,16511.98812317781,21272.98111493883,9775.793680955967,13131.50973993119,20138.95938720768,25952.820459797036,57347540.132525645,84647.37903431678,2441.3545780458417,,
FKO012,202508070847,6009,0.01,10943.7474567548,7885.485673311843,11385.675884071383,17651.631880320816,13357.903646231423,9597.530921661366,13876.666822074254,21519.92672712396,39710183.77399374,71053.54249985535,2031.5354805439536,,
FKO013,202508070847,6009,0.01,2398.0789776250253,18163.88874002261,12143.800619105892,21889.963531552952,1639.2185795054913,22105.65297626039,14769.428552392003,26636.121166987847,58989472.49547957,70099.96432770525,2476.0574636773563,,
FKO014,202508070847,6009,0.01,13045.70560571622,8295.022545848371,11081.67283803223,19021.075329127154,15856.264831347213,10072.271465116653,13473.136580453103,23117.03259902458,45578890.09524075,74960.16184079603,2176.483283179342,,
FKO016,202508070847,6009,0.01,13193.060759584589,2663.5532173475444,8268.088119604121,15712.809145943285,16075.243276750633,2532.8547448784557,10072.39766432858,19138.463259084954,31480089.264470566,58171.519291830984,1808.8037126716338,,
KMM001,202508070847,6509,0.01,34720.96347431546,61344.99229458221,12975.500897562006,69863.1630504267,5523.493563714613,6806.479619698884,12707.156704328154,15238.688765056519,208475297.68609488,174517.61022086113,4472.442139186351,,
KMM002,202508070847,6909,0.01,7576.669585742333,10590.885143902931,6037.396117269849,11824.188166943028,3960.7526501677025,6188.591491847189,7304.377479311003,10359.651718273783,22526023.034601882,75304.10410393812,1426.9515605944637,,
KMM003,202508070847,6009,0.01,6658.082215109981,4519.060986761839,2785.56237614405,7653.712995074729,4653.947609565684,302.0973071515515,3388.6688251140563,5757.679933466222,7650560.719148747,39988.5541131104,891.7027301210512,,
